Library Name,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)",Celia-verkkoasiakkaaksi rekisteröityminen,Mikrokortin/filmin lukulaitteet (skannaus ja tulostus),Tulostin (väri),Digituki,Lainattavia liikuntavälineitä,Musiikkihuone,E-lehtitabletti,Asiakirjojen hävittäminen,Ulkopelit,Hiljainen työskentelytila,Grilli,Valokuva- ja videostudio,3D-tulostimet,Espoon kaupungin asiointipiste,Poukama,Promentor-kielikurssit,Kansalaisparveke,Sateenkaarihylly,E-lehtien lukulaitteet,Ukulele,Lainattava Korkeasaaren kausikortti,Helmet-kirjavarasto,Retkireppu,Pelit,Akkuporakone/ruuvinväännin,Roomalainen puutarha,Saumurit,Kuva-Digitointi,Palautusluukku,Näyttelytila,Vaunuparkki,Koirat kielletty,Ompelukoneet,Työkaluja,Sydäniskuri,ToPo:n kausikortit,Bändi- ja laulustudio,Editointistudio,Kuntoiluvälineet,Digitointilaite,Koulu- tai päiväkotiyhteistyö,USB-muistit,Avoinna lauantaisin,Näyttelyvitriini
Library Name,"E-Library (e-books, audiobooks, digital magazines)",Celia Network Customer Registration,Microfilm/Microcard Readers (Scanning and Printing),Printer (Color),Digital Support,Loanable Sports Equipment,Music Room,E-Newspaper Tablet,Document Disposal,Outdoor Games,Quiet Working Space,Grill,Photo and Video Studio,3D Printers,Espoo City Service Point,Cove,Promentor Language Courses,Citizen Balcony,Rainbow Shelf,E-Newspaper Reading Devices,Ukulele,Loanable Korkeasaari Season Ticket,Helmet Book Storage,Hiking Backpack,Games,Cordless Drill/Screwdriver,Roman Garden,Overlock Sewing Machines,Image Digitization,Return Slot,Exhibition Space,Stroller Parking,Dogs Prohibited,Sewing Machines,Tools,Defibrillator,ToPo Season Tickets,Band and Vocal Studio,Editing Studio,Fitness Equipment,Digitization Device,School or Daycare Collaboration,USB Flash Drives,Open on Saturdays,Exhibition Display Case
 Arabianrannan kirjasto,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Auroran sairaalan potilaskirjasto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Entressen kirjasto,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Etelä-Haagan kirjasto,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 Hakunilan kirjasto,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Haukilahden kirjasto,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Keskustakirjasto Oodi,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0
 Herttoniemen kirjasto,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Hiekkaharjun kirjasto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Ison Omenan kirjasto,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
 Itäkeskuksen kirjasto,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
 Jakomäen kirjasto,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 Jätkäsaaren kirjasto,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Kalajärven kirjasto,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Kalasataman kirjasto,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Kallion kirjasto,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Kannelmäen kirjasto,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
 Käpylän kirjasto,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Karhusuon kirjasto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Kauklahden kirjasto,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 Kauniaisten kirjasto,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 Koivukylän kirjasto,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
