,id,name,address,postal_code,services
0,84921, Arabianrannan,"Hämeentie 135 A, 00560 Helsinki",560,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Rainbow Shelf', 'Ukulele', 'Open on Saturdays']"
1,84849, Auroran sairaalan,"Nordenskiöldinkatu 20, 00250 Helsinki",250,"['E-Library (e-books, audiobooks, digital magazines)']"
2,84787, Entressen,"Siltakatu 11, 02770 Espoo",2770,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Quiet Working Space', 'Image Digitization', 'Open on Saturdays']"
3,84878, Etelä-Haagan,"Isonnevantie 16 B, 00320 Helsinki",320,"['E-Library (e-books, audiobooks, digital magazines)', 'Printer (Color)', 'Digital Support', 'Rainbow Shelf', 'Return Slot', 'Exhibition Space', 'Fitness Equipment', 'Open on Saturdays']"
4,84869, Hakunilan,"Kimokuja 5, 01200 Vantaa",1200,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Exhibition Space', 'Open on Saturdays']"
5,84918, Haukilahden,"Toppelundintie 11, 02170 Espoo",2170,"['E-Library (e-books, audiobooks, digital magazines)', 'Digital Support', 'Return Slot', 'Open on Saturdays']"
6,86476, Keskustakirjasto,"Töölönlahdenkatu 4, 00100 Helsinki",100,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Photo and Video Studio', '3D Printers', 'Citizen Balcony', 'Rainbow Shelf', 'Games', 'Overlock Sewing Machines', 'Stroller Parking', 'Dogs Prohibited', 'Sewing Machines', 'Band and Vocal Studio', 'Editing Studio', 'Open on Saturdays']"
7,84911, Herttoniemen,"Linnanrakentajantie 2, 00880 Helsinki",880,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Printer (Color)', 'Digital Support', 'Rainbow Shelf', 'E-Newspaper Reading Devices', 'Cordless Drill/Screwdriver', 'Exhibition Space', 'Open on Saturdays']"
8,84872, Hiekkaharjun,"Urheilutie 4, 01370 Vantaa",1370,"['E-Library (e-books, audiobooks, digital magazines)']"
9,84834, Ison Omenan,"Suomenlahdentie 1, 02230 Espoo",2230,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Quiet Working Space', '3D Printers', 'Tools', 'Open on Saturdays']"
10,84927, Itäkeskuksen,"Turunlinnantie 1, 00900 Helsinki",900,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Rainbow Shelf', 'Sewing Machines', 'Digitization Device', 'Open on Saturdays']"
11,84854, Jakomäen,"Jakomäenpolku 3, 00770 Helsinki",770,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Fitness Equipment', 'Open on Saturdays']"
12,86406, Jätkäsaaren,"Tyynenmerenkatu 1, 00220 Helsinki",220,"['E-Library (e-books, audiobooks, digital magazines)', 'Printer (Color)', 'Digital Support', 'Open on Saturdays']"
13,84833, Kalajärven,"Ruskaniitty 4, 02970 Espoo",2970,"['E-Library (e-books, audiobooks, digital magazines)', 'Digital Support', 'Open on Saturdays']"
14,86738, Kalasataman,"Hermannin rantatie 5, 00580 Helsinki",580,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Rainbow Shelf', 'Loanable Korkeasaari Season Ticket', 'Open on Saturdays']"
15,84860, Kallion,"Viides linja 11, 00530 Helsinki",530,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Quiet Working Space', 'Rainbow Shelf', 'Exhibition Space', 'Open on Saturdays']"
16,84847, Kannelmäen,"Klaneettitie 5, 00420 Helsinki",420,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Printer (Color)', 'Digital Support', 'Rainbow Shelf', 'Exhibition Space', 'Dogs Prohibited', 'Fitness Equipment', 'Open on Saturdays']"
17,84861, Käpylän,"Väinölänkatu 5, 00610 Helsinki",610,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Printer (Color)', 'Rainbow Shelf', 'Exhibition Space']"
18,84789, Karhusuon,"Karhuniitynkuja 3, 02810 Espoo",2810,"['E-Library (e-books, audiobooks, digital magazines)', 'Open on Saturdays']"
19,84790, Kauklahden,"Hansakallio 2, 02780 Espoo",2780,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Open on Saturdays']"
20,84779, Kauniaisten,"Palokunnantie 3, 02700 Kauniainen",2700,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Printer (Color)', 'Return Slot', 'Defibrillator']"
21,84873, Koivukylän,"Ojalehdonkuja 1, 01400 Vantaa",1400,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Quiet Working Space', 'E-Newspaper Reading Devices', 'Dogs Prohibited', 'Open on Saturdays']"
22,84863, Kontulan,"Ostostie 4, 00940 Helsinki",940,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Rainbow Shelf', 'Open on Saturdays']"
23,84863, Kontulan,"Ostostie 4, 00940 Helsinki",940,"['E-Library (e-books, audiobooks, digital magazines)']"
24,84750, Kontulan,"Kontukuja 5, 00940 Helsinki",940,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Rainbow Shelf', 'Open on Saturdays']"
25,84750, Kontulan,"Kontukuja 5, 00940 Helsinki",940,"['E-Library (e-books, audiobooks, digital magazines)']"
26,84751, Kustaankartanon,"Oltermannintie 32, 00620 Helsinki",620,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration']"
27,84793, Laajalahden,"Kurkijoentie 24, 02140 Espoo",2140,"['E-Library (e-books, audiobooks, digital magazines)', 'Digital Support', 'Open on Saturdays']"
28,84848, Laajasalon,"Yliskylän puistokatu 4, 00840 Helsinki",840,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Rainbow Shelf', 'Exhibition Space', 'Open on Saturdays']"
29,84794, Laaksolahden,"Veininkatu 24, 02730 Espoo",2730,"['E-Library (e-books, audiobooks, digital magazines)', 'Printer (Color)', 'Digital Support', 'Exhibition Space', 'Open on Saturdays']"
30,84875, Länsimäen,"Suunnistajankuja 2, 01280 Vantaa",1280,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration']"
31,84864, Lauttasaaren,"Pajalahdentie 10 a, 00200 Helsinki",200,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Dogs Prohibited', 'Open on Saturdays', 'Exhibition Display Case']"
32,86685, Lippulaivan,"Espoonlahdenkatu 8, 02320 Espoo",2320,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', '3D Printers', 'Games', 'Sewing Machines', 'Open on Saturdays']"
33,84874, Lumon,"Urpiaisentie 14, 01450 Vantaa",1450,"['E-Library (e-books, audiobooks, digital magazines)', 'Celia Network Customer Registration', 'Digital Support', 'Outdoor Games', 'Exhibition Space', 'Sewing Machines', 'Open on Saturdays']"
