Library Name,Library ID,Address,Postal Code,Contact Info
 Arabianrannan,84921,"Hämeentie 135 A, 00560 Helsinki",00560,arabianrannan_kirjasto@hel.fi
 Auroran sairaalan,84849,"Nordenskiöldinkatu 20, rak. 3 B-rappu, 00250 Helsinki",00250,auroran.potilaskirjasto@hel.fi
 Entressen,84787,"Siltakatu 11, 02770 Espoo",02770,kirjasto.entresse@espoo.fi
 Etelä-Haagan,84878,"Isonnevantie 16 B, 00320 Helsinki",00320,etela-haagan_kirjasto@hel.fi
 Hakunilan,84869,"Kimokuja 5, 01200 Vantaa",01200,hakunila.kirjasto@vantaa.fi
 Haukilahden,84918,"Toppelundintie 11, 02170 Espoo",02170,kirjasto.haukilahti@espoo.fi
 Keskustakirjasto,86476,"Töölönlahdenkatu 4, 00100 Helsinki",00100,oodi@hel.fi
 Herttoniemen,84911,"Linnanrakentajantie 2, 00880 Helsinki",00880,herttoniemen_kirjasto@hel.fi
 Hiekkaharjun,84872,"Urheilutie 4, 01370 Vantaa",01370,hiekkaharju-sandkulla.kirjasto@vantaa.fi
 Ison Omenan,84834,"Suomenlahdentie 1, 02230 Espoo",02230,kirjasto.omena@espoo.fi
 Itäkeskuksen,84927,"Turunlinnantie 1, 00900 Helsinki",00900,itakeskuksen_kirjasto@hel.fi
 Jakomäen,84854,"Jakomäenpolku 3, 00770 Helsinki",00770,jakomaen_kirjasto@hel.fi
 Jätkäsaaren,86406,"Tyynenmerenkatu 1, 00220 Helsinki",00220,jatkasaaren_kirjasto@hel.fi
 Kalajärven,84833,"Ruskaniitty 4, 02970 Espoo",02970,kirjasto.kalajarvi@espoo.fi
 Kalasataman,86738,"Hermannin rantatie 5, 00580 Helsinki",00580,kalasataman_kirjasto@hel.fi
 Kallion,84860,"Viides linja 11, 00530 Helsinki",00530,kallion_kirjasto@hel.fi
 Kannelmäen,84847,"Klaneettitie 5, 00420 Helsinki",00420,kannelmaen_kirjasto@hel.fi
 Käpylän,84861,"Väinölänkatu 5, 00610 Helsinki",00610,kapylan_kirjasto@hel.fi
 Karhusuon,84789,"Karhuniitynkuja 3, 02810 Espoo",02810,kirjasto.karhusuo@espoo.fi
 Kauklahden,84790,"Hansakallio 2, 02780 Espoo",02780,kirjasto.kauklahti@espoo.fi
 Kauniaisten,84779,"Palokunnantie 3, 02700 Kauniainen",02700,kirjasto@kauniainen.fi
 Koivukylän,84873,"Ojalehdonkuja 1, 01400 Vantaa",01400,koivukyla.kirjasto@vantaa.fi
 Kontulan,84863,"Ostostie 4, 00940 Helsinki",00940,kontulan_kirjasto@hel.fi
 Kontulan,84750,"Kontukuja 5, 00940 Helsinki",00940,kontulan_kirjasto@hel.fi
 Kustaankartanon,84751,"Oltermannintie 32, rakennus E, 00620 Helsinki",00620,oulunkylan_kirjasto@hel.fi
 Laajalahden,84793,"Kurkijoentie 24, 02140 Espoo",02140,kirjasto.laajalahti@espoo.fi
 Laajasalon,84848,"Yliskylän puistokatu 4, 00840 Helsinki",00840,laajasalon_kirjasto@hel.fi
 Laaksolahden,84794,"Veininkatu 24, 02730 Espoo",02730,kirjasto.laaksolahti@espoo.fi
 Länsimäen,84875,"Suunnistajankuja 2, 01280 Vantaa",01280,lansimaki.kirjasto@vantaa.fi
 Lauttasaaren,84864,"Pajalahdentie 10 a, 00200 Helsinki",00200,lauttasaaren_kirjasto@hel.fi
 Lippulaivan,86685,"Espoonlahdenkatu 8, 02320 Espoo",02320,kirjasto.lippulaiva@espoo.fi
 Lumon,84874,"Urpiaisentie 14, 01450 Vantaa",01450,lumo.kirjasto@vantaa.fi
 Malmin,84859,"Ala-Malmin tori 1, 00700 Helsinki",00700,malmin_kirjasto@hel.fi
 Malminkartanon,84866,"Puustellintie 6, 00410 Helsinki",00410,malminkartanon_kirjasto@hel.fi
 Martinlaakson,84876,"Laajaniityntie 3, 01620 Vantaa",01620,martinlaakso.kirjasto@vantaa.fi
 Maunulan,84857,"Metsäpurontie 4, 00630 Helsinki",00630,maunulan_kirjasto@hel.fi
 Kirjastoauto,84791,"Kulttuuriaukio 2, 02100 Espoo",02100,kirjastoautot@espoo.fi
 Kirjastoauto,84884,"Rautatieläisenkatu 8, 00520 Helsinki",00520,kirjastoautot@hel.fi
 Kirjastoauto,84926,"Lummetie 4, 01300 Vantaa",01300,auto.kirjasto@vantaa.fi
 Mosaiikin,86659,"Vantaankoskentie 69, 01700 Vantaa",01700,mosaiikki.kirjasto@vantaa.fi
 Monikielinen,84923,"Kellosilta 9, 00520 Helsinki",00520,monikielinen.kirjasto@hel.fi
 Munkkiniemen,84867,"Riihitie 22, 00330 Helsinki",00330,munkkiniemen_kirjasto@hel.fi
 Myllypuron,84883,"Kiviparintie 2, 00920 Helsinki",00920,myllypuron_kirjasto@hel.fi
 Myllypuron,84755,"Myllymatkantie 4, 00920 Helsinki",00920,itakeskuksen_kirjasto@hel.fi
 Myyrmäen,84920,"Paalutori 3, 01600 Vantaa",01600,myyrmaki.kirjasto@vantaa.fi
 Nöykkiön,84915,"Oxfotintie 4, 02330 Espoo",02330,kirjasto.noykkio@espoo.fi
 Otaniemen,86654,"Tietotie 6, 02150 Espoo",02150,kirjasto.otaniemi@espoo.fi
 Oulunkylän,84862,"Kylänvanhimmantie 27, 00640 Helsinki",00640,oulunkylan_kirjasto@hel.fi
 Pähkinärinteen,84877,"Mantelikuja 4, 01710 Vantaa",01710,pahkinarinne.kirjasto@vantaa.fi
 Paloheinän,84852,"Paloheinäntie 22, 00670 Helsinki",00670,paloheinan_kirjasto@hel.fi
 Pasilan,84924,"Kellosilta 9, 00520 Helsinki",00520,tietopalvelu.pasila@hel.fi
 Pikku Huopalahden,84855,"Tilkankatu 19, 00300 Helsinki",00300,pikkuhuopalahden_kirjasto@hel.fi
 Pitäjänmäen,84865,"Jousipolku 1, 00370 Helsinki",00370,pitajanmaen_kirjasto@hel.fi
 Pohjois-Haagan,84879,"Kaupintie 4, 00440 Helsinki",00440,pohjois-haagan_kirjasto@hel.fi
 Pointin,84882,"Hagelstamintie 1, 01520 Vantaa",01520,point.kirjasto@vantaa.fi
 Psykiatriakeskuksen,84762,"Välskärinkatu 12, 00250 Helsinki",00250,psykiatriakeskuksen.potilaskirjasto@hel.fi
 Puistolan,84853,"Nurkkatie 2, 00760 Helsinki",00760,puistolan_kirjasto@hel.fi
 Pukinmäen,84858,"Kenttäkuja 12, 00720 Helsinki",00720,pukinmaen_kirjasto@hel.fi
 Riistavuoren,84763,"Isonnevantie 28, 00320 Helsinki",00320,liisa.varri@hel.fi
 Rikhardinkadun,84912,"Rikhardinkatu 3, 00130 Helsinki",00130,rikhardinkadun_kirjasto@hel.fi
 Roihuvuoren,84868,"Roihuvuorentie 2, 00820 Helsinki",00820,roihuvuoren_kirjasto@hel.fi
 Roihuvuoren,84767,"Punahilkantie 16, 00820 Helsinki",00820,itakeskuksen_kirjasto@hel.fi
 Venäjänkielinen,86000,"Leppävaarankatu 9, 02600 Espoo",02600,
 Sakarinmäen,84856,"Knutersintie 924, 00890 Helsinki",00890,sakarinmaen_lastenkirjasto@hel.fi
 Saunalahden,84917,"Brinkinmäentie 1, 02330 Espoo",02330,kirjasto.saunalahti@espoo.fi
 Sellon,84925,"Leppävaarankatu 9, 02600 Espoo",02600,sellonkirjasto@espoo.fi
 Suomenlinnan,84871,"Suomenlinna C 31, 00190 Helsinki",00190,suomenlinnan_kirjasto@hel.fi
 Suurpellon,86407,"Lillhemtintie 1 (Opinmäki, B-noppa), 02250 Espoo",02250,kirjasto.suurpelto@espoo.fi
 Suutarilan,84881,"Seulastentie 11, 00740 Helsinki",00740,suutarilan_kirjasto@hel.fi
 Tapanilan,84776,"Hiidenkiventie 21, 00730 Helsinki",00730,tapanilan_kirjasto@hel.fi
 Tapiolan,84850,"Espoon kulttuurikeskus, Kulttuuriaukio 2, 02100 Espoo",02100,kirjasto.tapiola@espoo.fi
 Tapulikaupungin,84845,"Ajurinaukio 5, 00750 Helsinki",00750,tapulikaupungin_kirjasto@hel.fi
