Library Name,Library ID,Address,Contact Info,Services
Valittukirjasto: Arabianrannan kirjasto,84921,"Hämeentie 135 A, 00560 Helsinki",arabianrannan_kirjasto@hel.fi,"E-lehtipalvelupiste          



            Kopiokone (väri)          



            Kuulokkeet          



            Muistikortinlukijat          



            Piano          



            Skanneri          



            Tietokoneet          



            Ukulele | Arabia-kokoelma          



            E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Sateenkaarihylly          



            Shakki ja Backgammon | Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Helsingin historian lukupiiri          



            Itsepalvelutulostus          



            Kaukopalvelu          



            Kirjakierrätyspiste          



            Korttimaksumahdollisuus          



            Lainattavia esineitä          



            Langaton verkko (Wi-Fi)          



            Lukukoira          



            Pikainen asiointi koiran kanssa          



            Tekniikan museon Juniorikortti | Fakta vai Feikki -muraali          



            Helsingin Taiteilijaseuran näyttely          



            Riikka Kevon taideteos Seinä, jota ei ole"
Valittukirjasto: Auroran sairaalan potilaskirjasto,84849,"Nordenskiöldinkatu 20, rak. 3 B-rappu, 00250 Helsinki",auroran.potilaskirjasto@hel.fi,"Tietokoneet | E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Entressen kirjasto,84787,"Siltakatu 11, 02770 Espoo",kirjasto.entresse@espoo.fi,"Avoinna lauantaisin              

                  Avoinna sunnuntaisin              


            Biljardi          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Ilmainen WIFI          



            Itsepalvelutulostus          



            Kaukopalvelu          



            Kirjakierrätyspiste          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Tapahtuman järjestäminen kirjastossa          



            Ulkopelit          



            Varausten itsepalvelunouto | 3D-tulostin          



            Asiakastietokoneet          



            Digitaalipiano          



            Kopiokone          



            Kuva-Digitointi          



            Lainattavat esineet          



            Ompelukone          



            Pelikonsoli          



            Roskapihdit          



            Saumuri          



            Skanneri          



            Vinyylileikkuri ja lämpöprässi | Aikuisten pelihuone          



            Esiintymislava Estradi          



            Hiljainen työskentelytila          



            Kokoustila Aisti          



            Kokoustila Sininen huone          



            Musahuone          



            Näyttelyseinä          



            Paja | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelejä"
Valittukirjasto: Etelä-Haagan kirjasto,84878,"Isonnevantie 16 B, 00320 Helsinki",etela-haagan_kirjasto@hel.fi,"Avoinna lauantaisin              


            Digituki          



            Enter ry:n opastukset          



            Itsepalvelutulostus          


                  Kahviautomaatti              


            Kirjakierrätyspiste          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Langaton verkko (Wi-Fi)          



            Palautusluukku          



            Paristojen kierrätyspiste          



            Tavaroiden kierrätyspiste          



            Ulkopelejä | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Sateenkaarihylly | Energiankulutusmittari          



            Henkilökortinlukija          



            Kopiokone (väri)          



            Kuntoiluvälineet          



            Lumikengät          



            Muistikortinlukija          



            Muistitikku          



            Nokkakärryt          



            Ompelukone          



            Poravasara          



            Radiokuulonsuojaimet          



            Roskapihdit          



            Soittimet          



            Tietokoneet          



            Tulostin (väri)          



            Whisbear nukahtamislelu | Näyttelytila          



            Oma Huone"
Valittukirjasto: Hakunilan kirjasto,84869,"Kimokuja 5, 01200 Vantaa",hakunila.kirjasto@vantaa.fi,"Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Itsepalvelutulostus          



            Kirjakierrätys          



            Kirjapaketit perheille          


                  Koirat sallittu              


            Lainaus-ja palautusautomaatit          



            Langaton verkko (Wi-Fi)          



            Lukupiirit          



            Ulkopelit          


                  Varausten itsepalvelunouto | Dataprojektori          



            Digilehtien lukupiste          



            Digitaalipiano          



            Energiankulutusmittari          



            Erilliset näppäimistöt          



            Monitoimilaite          



            Pelikonsolit          


                  Roskapihdit              


            Skannerit          



            Tablettitietokoneet          



            Tietokoneet | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit          



            Lehdet | Monitoimihuone          



            Näyttelytila          



            Työtila Hiljainen huone"
Valittukirjasto: Haukilahden kirjasto,84918,"Toppelundintie 11, 02170 Espoo",kirjasto.haukilahti@espoo.fi,"Kopiokone          



            Paperisilppuri          



            Skanneri          



            Tietokoneet          



            Tulostin | Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Digituki          



            Kaukopalvelu          



            Kirjakierrätyspiste          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Langaton verkko (Wi-Fi)          



            Omatoimikirjasto          



            Palautusluukku | Ryhmätila | E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Keskustakirjasto Oodi,86476,"Töölönlahdenkatu 4, 00100 Helsinki",oodi@hel.fi,"E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Kokoelmat          



            Käsikirjat          



            Lautapelit          



            Lehdet          



            Sateenkaarihylly | 3D-tulostimet          



            A2-tulostin ja A3-skanneri          



            Desibelimittari          



            Elektroniikkatyöpiste          



            Filmiskannerit          



            Kaiverruskone          



            Kampasidontalaite          



            Kirjova ompelukone          



            Kopiokoneet (väri)          



            Lainattavat lisätarvikkeet          



            Lainausautomaatti          



            Laserleikkuri          



            Latauspiste          



            Lehdenlukutabletit          



            Mediatyöasemat          



            Ompelukoneet          



            Palautusautomaatti          



            Pelikonsolit          



            Podcast-setti          



            Pyörätuoli          



            Rintanappikone          



            Roskapihdit          



            Saumurit          



            Skannerit          



            Soittimet          



            Suurkuvatulostin          



            Sähkönkulutusmittarit          



            Tietokoneet          



            Tulostimet (väri)          



            UV-tulostin          



            Vinyylileikkuri ja lämpöprässi | Avoinna lauantaisin          



            Avoinna sunnuntaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Elokuvaesitykset          



            Enter ry:n opastukset          



            Esteettömyys          



            EU@Oodi          



            Helsinki-info          



            Kahvilat          



            Kaukopalvelu          



            Kaupunkiverstas          



            Kirjallisuustapahtumat ja lukupiirit          



            Koirat kielletty          



            Korttimaksumahdollisuus          



            Käteismaksumahdollisuus          



            Langaton verkko          



            Lasten ja perheiden palvelut          



            Leikkipuisto Loru          



            Nuorisotila          



            Studiot          



            Tutustumiskierrokset          



            Työpajat koulu- ja päiväkotiryhmille          



            Ulkopelit          



            Varausten itsepalvelunouto | Akustisten soitinten studio          



            Aura          



            Bändi- ja laulustudio          



            Digitointistudio          



            Editointistudio          



            Elektronisen musiikin studio          



            Istuskeluportaat          



            Kansalaisparveke          



            Keittiö          



            Kino Regina          



            Kuutio          



            Lasten tapahtumatila          



            Lehtialue          



            Lukusali          



            Maijansali          



            Pelitilat          



            Pop up -alue          



            Ryhmätilat          



            Saarikoski-matto          



            Satuhuone          



            Työskentelypisteet          



            Työtilat          



            Valokuva- ja videostudio          



            Vaunuparkki          



            Vauvanhoitohuone          



            Äänitysstudio"
Valittukirjasto: Herttoniemen kirjasto,84911,"Linnanrakentajantie 2, 00880 Helsinki",herttoniemen_kirjasto@hel.fi,"Akkuporakone/ruuvinväännin          



            Digitaalipiano          


                  E-lehtien lukulaitteet              


            Kopiokone (väri)          



            Kuulokkeet          



            Monitoimilaite          


                  Nokkakärryt              


            Ompelukone          



            Roskapihdit          



            Skanneri          



            Tietokoneet          



            Tulostin (väri) | Avoinna lauantaisin          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Itsepalvelutulostus          



            Kirjakierrätys          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Langaton verkko (Wi-Fi)          



            Lukupiirit          



            Omatoimikirjasto | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Ekohylly          



            Lautapelit          



            Lehdet          



            Sateenkaarihylly | Kokoustila          



            Lukusali          



            Näyttelytila          



            Tilojen varaaminen          



            Vauvanhoitohuone"
Valittukirjasto: Hiekkaharjun kirjasto,84872,"Urheilutie 4, 01370 Vantaa",hiekkaharju-sandkulla.kirjasto@vantaa.fi,"Tietokoneet | Kirjavinkkaus 1.-6. luokille ja 7. luokalle, jatkuu muualla.          



            Langaton verkko (Wi-Fi)          



            Satutuokiot, loruleikki ja kirjavinkkaus 1.-3. luokille, jatkuu muualla. | E-kirjasto (e-kirjat, äänikirjat, digilehdet)"
Valittukirjasto: Ison Omenan kirjasto,84834,"Suomenlahdentie 1, 02230 Espoo",kirjasto.omena@espoo.fi,"Avoinna lauantaisin              

                  Avoinna sunnuntaisin              


            Biljardi          



            Celia-verkkoasiakkaaksi rekisteröityminen          



            Digituki          



            Enter ry:n opastukset          



            Ison Omenan palvelutori          



            Itsepalvelutulostus          



            Kahviautomaatti          



            Kahvilat          



            Kaukopalvelu          



            Kirjakierrätyspiste          



            Koirat sallittu          



            Korttimaksumahdollisuus          



            Koulu- ja päiväkotiyhteistyö, kirjastonkäytön opetus ja ryhmäkäynnit          



            Lainaus- ja palautusautomaatit          



            Langaton verkko (Wi-Fi)          



            Lastenpalvelut          



            Matinkylän asiointipiste          



            Pingis          



            Tapahtuman järjestäminen kirjastossa          



            Valkokangas          



            Varausten itsepalvelunouto | Hiljainen työskentelytila          



            Kokoustila          



            Musiikkistudio          



            Nuortentila VOX          



            Paja          



            Soittohuoneet          



            Stage | 3D-tulostimet          



            Asiakastietokoneet          



            Energiankulutusmittari          



            Kopiokone          



            Lainattava tietokone          



            Lainattavat esineet          



            Ompelukone          



            Piano          



            Skanneri          



            Tuhottavien paperien säiliö          



            Työkaluja          



            Vinyylileikkuri ja lämpöprässi | E-kirjasto (e-kirjat, äänikirjat, digilehdet)          



            Lautapelit"
